"sub"
"sub-A00018030_ses-DS2_task_rest_acq_1400"
"sub-A00027159_ses-DS2_task_rest_acq_1400"
"sub-A00027167_ses-DS2_task_rest_acq_1400"
"sub-A00027443_ses-DS2_task_rest_acq_1400"
"sub-A00031216_ses-DS2_task_rest_acq_1400"
"sub-A00031217_ses-DS2_task_rest_acq_1400"
"sub-A00031881_ses-DS2_task_rest_acq_1400"
"sub-A00033180_ses-DS2_task_rest_acq_1400"
"sub-A00033231_ses-DS2_task_rest_acq_1400"
"sub-A00034073_ses-DS2_task_rest_acq_1400"
"sub-A00034074_ses-DS2_task_rest_acq_1400"
"sub-A00034350_ses-DS2_task_rest_acq_1400"
"sub-A00035292_ses-DS2_task_rest_acq_1400"
"sub-A00035377_ses-DS2_task_rest_acq_1400"
"sub-A00035940_ses-DS2_task_rest_acq_1400"
"sub-A00035941_ses-DS2_task_rest_acq_1400"
"sub-A00035945_ses-DS2_task_rest_acq_1400"
"sub-A00037126_ses-CLGA_task_rest_acq_1400"
"sub-A00037458_ses-DS2_task_rest_acq_1400"
"sub-A00037483_ses-DS2_task_rest_acq_1400"
"sub-A00038158_ses-DS2_task_rest_acq_1400"
"sub-A00038159_ses-DS2_task_rest_acq_1400"
"sub-A00038706_ses-DS2_task_rest_acq_1400"
"sub-A00039075_ses-DS2_task_rest_acq_1400"
"sub-A00040800_ses-CLG2_task_rest_acq_1400"
"sub-A00043240_ses-DS2_task_rest_acq_1400"
"sub-A00043740_ses-CLG2_task_rest_acq_1400"
"sub-A00043788_ses-CLG2_task_rest_acq_1400"
"sub-A00044084_ses-DS2_task_rest_acq_1400"
"sub-A00044171_ses-DS2_task_rest_acq_1400"
"sub-A00050743_ses-CLG2_task_rest_acq_1400"
"sub-A00050847_ses-CLG2_task_rest_acq_1400"
"sub-A00050848_ses-CLG2_task_rest_acq_1400"
"sub-A00051063_ses-DS2_task_rest_acq_1400"
"sub-A00051638_ses-DS2_task_rest_acq_1400"
"sub-A00051658_ses-DS2_task_rest_acq_1400"
"sub-A00051690_ses-DS2_task_rest_acq_1400"
"sub-A00051726_ses-DS2_task_rest_acq_1400"
"sub-A00051758_ses-DS2_task_rest_acq_1400"
"sub-A00052069_ses-CLG2_task_rest_acq_1400"
"sub-A00052183_ses-CLG4_task_rest_acq_1400"
"sub-A00052197_ses-DS2_task_rest_acq_1400"
"sub-A00052461_ses-CLG2_task_rest_acq_1400"
"sub-A00052502_ses-DS2_task_rest_acq_1400"
"sub-A00052614_ses-DS2_task_rest_acq_1400"
"sub-A00053203_ses-CLG2_task_rest_acq_1400"
"sub-A00053320_ses-CLG4_task_rest_acq_1400"
"sub-A00053744_ses-CLG2_task_rest_acq_1400"
"sub-A00054206_ses-CLG2_task_rest_acq_1400"
"sub-A00054581_ses-CLG2_task_rest_acq_1400"
"sub-A00055076_ses-CLG2_task_rest_acq_1400"
"sub-A00055122_ses-CLG2_task_rest_acq_1400"
"sub-A00055262_ses-CLG4_task_rest_acq_1400"
"sub-A00055332_ses-DS2_task_rest_acq_1400"
"sub-A00055624_ses-CLG4_task_rest_acq_1400"
"sub-A00055693_ses-CLG5_task_rest_acq_1400"
"sub-A00055906_ses-DS2_task_rest_acq_1400"
"sub-A00055920_ses-CLG4_task_rest_acq_1400"
"sub-A00055921_ses-CLG5_task_rest_acq_1400"
"sub-A00055946_ses-CLG5_task_rest_acq_1400"
"sub-A00056022_ses-CLG4_task_rest_acq_1400"
"sub-A00056138_ses-CLG2_task_rest_acq_1400"
"sub-A00056307_ses-CLG4_task_rest_acq_1400"
"sub-A00056420_ses-CLG4_task_rest_acq_1400"
"sub-A00056470_ses-CLG2_task_rest_acq_1400"
"sub-A00056605_ses-CLG4_task_rest_acq_1400"
"sub-A00056679_ses-CLG4_task_rest_acq_1400"
"sub-A00056703_ses-DS2_task_rest_acq_1400"
"sub-A00056746_ses-CLG5_task_rest_acq_1400"
"sub-A00057480_ses-CLG2_task_rest_acq_1400"
"sub-A00057726_ses-CLG5_task_rest_acq_1400"
"sub-A00057862_ses-CLG2_task_rest_acq_1400"
"sub-A00057967_ses-DS2_task_rest_acq_1400"
"sub-A00058004_ses-CLG5_task_rest_acq_1400"
"sub-A00058516_ses-CLG2_task_rest_acq_1400"
"sub-A00058570_ses-CLG4_task_rest_acq_1400"
"sub-A00059325_ses-DS2_task_rest_acq_1400"
"sub-A00059327_ses-CLG2_task_rest_acq_1400"
"sub-A00059865_ses-CLG2_task_rest_acq_1400"
"sub-A00060100_ses-CLG4_task_rest_acq_1400"
"sub-A00060280_ses-CLG2_task_rest_acq_1400"
"sub-A00060384_ses-CLG2_task_rest_acq_1400"
"sub-A00060472_ses-CLG2_task_rest_acq_1400"
"sub-A00060503_ses-CLG2_task_rest_acq_1400"
"sub-A00060603_ses-CLG2_task_rest_acq_1400"
"sub-A00060664_ses-CLG4_task_rest_acq_1400"
"sub-A00060806_ses-CLG2_task_rest_acq_1400"
"sub-A00060846_ses-DS2_task_rest_acq_1400"
"sub-A00061298_ses-CLGA_task_rest_acq_1400"
"sub-A00061413_ses-CLG4_task_rest_acq_1400"
"sub-A00061714_ses-CLGA_task_rest_acq_1400"
"sub-A00061715_ses-CLG4_task_rest_acq_1400"
"sub-A00061749_ses-CLGA_task_rest_acq_1400"
"sub-A00061883_ses-CLGA_task_rest_acq_1400"
"sub-A00062085_ses-CLG4_task_rest_acq_1400"
"sub-A00062369_ses-CLG4_task_rest_acq_1400"
"sub-A00062797_ses-CLGA_task_rest_acq_1400"
"sub-A00062809_ses-DSA_task_rest_acq_1400"
"sub-A00062983_ses-CLG4_task_rest_acq_1400"
"sub-A00062989_ses-DSA_task_rest_acq_1400"
"sub-A00062996_ses-CLGA_task_rest_acq_1400"
"sub-A00063003_ses-DSA_task_rest_acq_1400"
"sub-A00063006_ses-CLG4_task_rest_acq_1400"
"sub-A00063383_ses-CLGA_task_rest_acq_1400"
"sub-A00064418_ses-DSA_task_rest_acq_1400"
"sub-A00064505_ses-CLGA_task_rest_acq_1400"
"sub-A00065263_ses-DSA_task_rest_acq_1400"
"sub-A00065802_ses-DSA_task_rest_acq_1400"
"sub-A00065934_ses-CLGA_task_rest_acq_1400"
"sub-A00065975_ses-CLGA_task_rest_acq_1400"
"sub-A00065978_ses-CLGA_task_rest_acq_1400"
"sub-A00066314_ses-CLGA_task_rest_acq_1400"
"sub-A00066572_ses-CLGA_task_rest_acq_1400"
"sub-A00066582_ses-CLGA_task_rest_acq_1400"
"sub-A00066698_ses-CLGA_task_rest_acq_1400"
"sub-A00066784_ses-CLG4_task_rest_acq_1400"
